STR_ESID;STN_LABEL;ZIP_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_TYPE;STR_STATUS;STR_OFFICIAL;STR_MODIFIED;STR_EASTING;STR_NORTHING
10042064;Laubgasse;8500 Frauenfeld;4566;Frauenfeld;TG;Street;real;true;27.09.2023;2709288;1268018
10124303;Hauptstrasse;8280 Kreuzlingen;4671;Kreuzlingen;TG;Street;real;true;27.09.2023;2730392;1279282
10253522;Le Tey;1666 Grandvillard;2134;Grandvillard;FR;Street;real;true;16.04.2024;2573988;1153026
10106002;Remisbergstrasse;8280 Kreuzlingen;4671;Kreuzlingen;TG;Street;real;true;27.09.2023;2731212;1277369
10177918;Bahnhofstrasse;8560 Märstetten;4941;Märstetten;TG;Street;real;true;27.09.2023;2722212;1272088
10036190;Alte Hauptwilerstrasse;9220 Bischofszell;4471;Bischofszell;TG;Street;real;true;27.09.2023;2736323;1261583
10253315;Gouvet;1651 Villarvolard;2129;Corbières;FR;Street;real;true;16.04.2024;2574421;1165717
10254031;Dorfstrasse;3213 Liebistorf;2262;Gurmels;FR;Street;real;true;26.09.2023;2581294;1195231
10260973;Chemin de la Seigneurie;1489 Murist;2054;Estavayer;FR;Street;real;true;16.04.2024;2553583;1182957
10252947;Le Chêne;1699 Bouloz;2337;Le Flon;FR;Street;real;true;16.04.2024;2557716;1163034
10086875;Promenadenstrasse;8500 Frauenfeld;4566;Frauenfeld;TG;Street;real;true;27.09.2023;2709915;1268319
10048544;Place du Centenaire;2053 Cernier;6487;Val-de-Ruz;NE;Place;real;true;02.05.2024;2559139;1212131
10091840;Glockenweg;2540 Grenchen;2546;Grenchen;SO;Street;real;true;02.05.2024;2596998;1227131
10234973;Dorfstrasse;8564 Sonterswil;4701;Wäldi;TG;Street;real;true;27.09.2023;2724414;1276439
10183587;Bielstrasse;4500 Solothurn, 4512 Bellach;2542;Bellach;SO;Street;real;true;02.05.2024;2603653;1228581
10066108;Bahnhofplatz;4573 Lohn-Ammannsegg;2526;Lohn-Ammannsegg;SO;Street;real;true;02.05.2024;2606643;1223489
10060072;Rathausplatz;8500 Frauenfeld;4566;Frauenfeld;TG;Street;real;true;27.09.2023;2709798;1268217
10042416;Rosgartenstrasse;8280 Kreuzlingen;4671;Kreuzlingen;TG;Street;real;true;27.09.2023;2729789;1278638
10254732;Maschinengasse;6330 Cham;1702;Cham;ZG;Street;real;true;27.09.2023;2677186;1226669
10254738;Chemin des Sarcelles;1222 Vésenaz;6616;Collonge-Bellerive;GE;Street;planned;true;27.09.2023;2505741;1122396
10254739;Chemin des Sarcelles;1252 Meinier;6629;Meinier;GE;Street;planned;true;27.09.2023;2505861;1122319
10254741;Trafoplatz;6330 Cham;1702;Cham;ZG;Place;real;true;27.09.2023;2677205;1226738
10042290;Turbenthalstrasse;8363 Bichelsee;4721;Bichelsee-Balterswil;TG;Street;real;true;27.09.2023;2710529;1257181
10255610;Parc Peter-PFOSI;1226 Thônex;6640;Thônex;GE;Street;planned;true;27.09.2023;2504955;1116853
10222210;Chemin des Teppes-Basses;1248 Hermance;6625;Hermance;GE;Street;real;true;27.09.2023;2508080;1126901
10256068;Parc Jean-Marie-GIGNOUX;1226 Thônex;6640;Thônex;GE;Street;real;true;27.09.2023;2504856;1116588
10256242;Chemin Jeanne-LAVERGNAT;1256 Troinex;6641;Troinex;GE;Street;real;true;27.09.2023;2500335;1113660
10251721;Chemin Jean-Jacques-ASPER;1256 Troinex;6641;Troinex;GE;Street;real;true;27.09.2023;2500410;1113519
10222129;Chemin des Marais-de-Sanvouigle;1247 Anières;6602;Anières;GE;Street;real;true;27.09.2023;2507516;1124258
10221928;Passage de l'Aventure;1219 Châtelaine;6643;Vernier;GE;Street;real;true;27.09.2023;2496844;1119503
10221568;Place des Arbousiers;1226 Thônex;6640;Thônex;GE;Place;real;true;27.09.2023;2505620;1117754
10222006;Promenade des Cirses;1234 Vessy;6645;Veyrier;GE;Street;real;true;27.09.2023;2501655;1114775
10246879;A1a;1227 Carouge GE;6608;Carouge (GE);GE;Street;real;true;27.09.2023;2498849;1115428
10221543;Place du Peintre;1225 Chêne-Bourg;6613;Chêne-Bourg;GE;Place;real;true;27.09.2023;2503878;1116685
10222402;Place des Trois-Martyrs;1224 Chêne-Bougeries;6612;Chêne-Bougeries;GE;Place;real;true;27.09.2023;2503681;1116826
10246877;A1;1293 Bellevue;6606;Bellevue;GE;Street;real;true;27.09.2023;2499800;1122927
10222226;Rampe de la Fontaine;1248 Hermance;6625;Hermance;GE;Street;real;true;27.09.2023;2508216;1128519
10222162;Place Charles-DUCHEMIN;1237 Avully;6603;Avully;GE;Place;real;true;27.09.2023;2489069;1114058
10221817;Rue Harry-Marc;1204 Genève, 1205 Genève;6621;Genève;GE;Street;real;true;27.09.2023;2499795;1117339
10171310;Neuwis;9562 Märwil;4711;Affeltrangen;TG;Street;real;true;27.09.2023;2722441;1265785
10222147;Chemin des Marseillanes;1243 Presinge;6635;Presinge;GE;Street;real;true;27.09.2023;2509745;1119751
10246350;Parc du Menhir;1284 Chancy;6611;Chancy;GE;Street;real;true;27.09.2023;2486502;1111880
10246886;A1a;1258 Perly;6632;Perly-Certoux;GE;Street;real;true;27.09.2023;2496744;1113204
10221596;Place du Setier;1226 Thônex;6640;Thônex;GE;Place;real;true;27.09.2023;2505190;1117569
10104520;Chli-Langboden;9107 Urnäsch;3006;Urnäsch;AR;Street;real;true;27.09.2023;2736165;1238608
10258002;Schoresberg;1656 Im Fang;2138;Jaun;FR;Street;real;true;16.04.2024;2585431;1161927
10221595;Pont Adrien-STOESSEL;1217 Meyrin;6630;Meyrin;GE;Street;real;true;27.09.2023;2495013;1119923
10221923;Passage de Blandonnet;1214 Vernier;6643;Vernier;GE;Street;real;true;27.09.2023;2496455;1119843
10222081;Chemin de la Riole;1218 Le Grand-Saconnex;6623;Le Grand-Saconnex;GE;Street;real;true;27.09.2023;2499035;1121114
10221565;Place de l'Araire;1226 Thônex;6640;Thônex;GE;Place;real;true;27.09.2023;2505597;1117900
10221775;Tunnel de Confignon;1233 Bernex;6607;Bernex;GE;Street;real;true;27.09.2023;2495428;1115228
10222123;Chemin de Chantepoulet;1232 Confignon;6618;Confignon;GE;Street;real;true;27.09.2023;2495742;1113606
10221939;Passerelle de l'Aventure;1214 Vernier, 1219 Châtelaine;6643;Vernier;GE;Street;real;true;27.09.2023;2496716;1119522
10221951;Place Jean-HERIDIER;1225 Chêne-Bourg;6613;Chêne-Bourg;GE;Place;real;true;27.09.2023;2504034;1116638
10185312;Rüteli;9107 Urnäsch;3006;Urnäsch;AR;Street;real;true;27.09.2023;2738509;1242100
10252763;Chemin du Creux-Blanc;1617 Tatroz;2321;Attalens;FR;Street;real;true;16.04.2024;2556081;1154409
10261049;Chemin de Monterban;1725 Posieux;2233;Hauterive (FR);FR;Street;real;true;16.04.2024;2573980;1179833
10221960;Place de l'Etang;1219 Châtelaine;6643;Vernier;GE;Place;real;true;27.09.2023;2497012;1119305
10260952;Chemin des Fermes-de-la-Molière;1489 Murist;2054;Estavayer;FR;Street;real;true;16.04.2024;2553558;1183521
10243599;Pont des Artisanes;1227 Carouge GE;6608;Carouge (GE);GE;Street;real;true;27.09.2023;2500720;1115778
10067860;Schutz;9056 Gais;3022;Gais;AR;Street;real;true;27.09.2023;2753220;1246711
10252828;La Brünisholzena;1634 La Roche FR;2149;La Roche;FR;Street;real;true;16.04.2024;2581319;1171087
10252036;Les Contens;1529 Cheiry;2044;Surpierre;FR;Street;real;true;16.04.2024;2552623;1176364
10198250;La Gissetta;1634 La Roche FR;2149;La Roche;FR;Street;real;true;16.04.2024;2582559;1171008
10246887;A1a;1228 Plan-les-Ouates;6633;Plan-les-Ouates;GE;Street;real;true;27.09.2023;2496800;1113270
10221590;Pont d'Aigues-Vertes;1233 Bernex;6607;Bernex;GE;Street;real;true;27.09.2023;2494862;1117628
10221780;Pont de la Fontenette;1205 Genève;6621;Genève;GE;Street;real;true;27.09.2023;2500255;1115882
10243605;Tunnel des Nations;1292 Chambésy;6634;Pregny-Chambésy;GE;Street;planned;true;27.09.2023;2499081;1121095
10246878;A1a;1293 Bellevue;6606;Bellevue;GE;Street;real;true;27.09.2023;2500135;1122889
10251764;Parc des Molliers;1233 Bernex;6607;Bernex;GE;Street;planned;true;27.09.2023;2495470;1115330
10121427;Route d'Oleyres;1564 Domdidier, 1580 Oleyres;2053;Belmont-Broye;FR;Street;real;true;26.09.2023;2568674;1190001
10142937;Klausenstrasse;6464 Spiringen, 8751 Urnerboden;1218;Spiringen;UR;Street;real;true;27.09.2023;2711329;1194173
10260645;Route des Grands Vergers;1844 Villeneuve VD;5414;Villeneuve (VD);VD;Street;real;true;26.09.2023;2561203;1138636
10253434;Vauderens;1675 Vauderens;2102;Ursy;FR;Street;real;true;16.04.2024;2555054;1163780
10222063;Chemin des Essarts;1288 Aire-la-Ville;6601;Aire-la-Ville;GE;Street;real;true;27.09.2023;2493012;1115763
10246909;A1a;1292 Chambésy;6634;Pregny-Chambésy;GE;Street;real;true;27.09.2023;2500715;1122378
10221968;Pont d'Aigues-Vertes;1214 Vernier;6643;Vernier;GE;Street;real;true;27.09.2023;2494827;1117737
10221930;Pont sur la Versoix;1290 Versoix;6644;Versoix;GE;Street;real;true;27.09.2023;2500184;1126317
10246884;A1a;1212 Grand-Lancy;6628;Lancy;GE;Street;real;true;27.09.2023;2498622;1114286
10221990;Esplanade Jean-PIAGET;1234 Vessy;6645;Veyrier;GE;Street;real;true;27.09.2023;2501576;1114723
